ime,datum,rezultat,dogodek,kategorija
Maarten Arens,2000,7,European Championships Wroclaw,U81
Maarten Arens,1999,2,European Championships Bratislava,U81
Maarten Arens,1998,5,European Championships Oviedo,U81
Maarten Arens,1995,1,European Championships Birmingham,U86
Maarten Arens,2001,3,Dutch Open Grand Prix Rotterdam,U81
Maarten Arens,2001,2,ARAL Grand Prix 2001 Prague,U81
Maarten Arens,2000,1,Tournoi de Paris,U81
Maarten Arens,2000,5,A-tournament Sofia 'Liberation',U81
Maarten Arens,1999,7,Dutch Open 's-Hertogenbosch,U81
Maarten Arens,1999,1,Czech Cup Prague,U81
Maarten Arens,1998,2,Dutch Open 's-Hertogenbosch,U81
Maarten Arens,1997,3,Dutch Open 's-Hertogenbosch,U86
Maarten Arens,1997,3,World Masters Munich,U86
Maarten Arens,1997,5,Tournoi de Paris,U86
Maarten Arens,1996,5,A-Tournament Budapest Bank Cup,U86
Maarten Arens,1996,5,Tournoi de Paris,U86
Maarten Arens,1995,3,Swiss International Basel,U86
Maarten Arens,1995,5,A-Tournament Budapest Bank Cup,U86
Maarten Arens,1993,2,Swiss International Basel,U86
Maarten Arens,1992,2,European Junior Championships Jerusalem,U78
Maarten Arens,1991,3,European Junior Championships Pieksämäki,U78
Maarten Arens,1998,1,European Team Championships Villach,U81
Maarten Arens,1998,1,European Team Championships Villach,U81
Maarten Arens,1998,3,Belgian Open Championships Visé,U81
Maarten Arens,1997,1,Belgian Open Championships Visé,U86
Maarten Arens,1995,3,German Open Rüsselsheim,U86
Maarten Arens,1995,2,Dutch Open 's-Hertogenbosch,U86
Maarten Arens,1995,5,Torneo Citta di Roma,U86
Maarten Arens,1995,2,Belgian Open Championships Visé,U86
Maarten Arens,1993,2,German Open Rüsselsheim,U86
Maarten Arens,1991,1,International Tournament Braine L'Alleud,U78
Maarten Arens,1991,3,Open Championships Helmond,U78
Maarten Arens,2001,3,Dutch Championships 's-Hertogenbosch,U90
Maarten Arens,1998,3,Dutch Championships 's-Hertogenbosch,U81
Maarten Arens,1997,2,Dutch Championships 's-Hertogenbosch,U86
Maarten Arens,1997,1,Dutch All Categories 's-Hertogenbosch,O81
Maarten Arens,1996,1,Dutch All Categories 's-Hertogenbosch,U81
Maarten Arens,1995,3,Dutch All Categories 's-Hertogenbosch,O78
Maarten Arens,1994,1,Dutch Championships 's-Hertogenbosch,U86
Maarten Arens,1993,1,Dutch Championships 's-Hertogenbosch,U86
Maarten Arens,1992,3,Dutch Championships 's-Hertogenbosch,U78
Maarten Arens,1991,2,Dutch Championships 's-Hertogenbosch,U78
Maarten Arens,1991,3,Dutch All Categories Nieuwegein,U78
Maarten Arens,1990,2,Dutch Championships 's-Hertogenbosch,U78
Maarten Arens,1992,1,Dutch Junior Championships Nieuwegein,U78
Maarten Arens,1991,1,Dutch Junior Championships U19 Geleen,U78
Leon Beeren,2001,3,Dutch Championships U20 Beverwijk,U100
Leon Beeren,2000,3,Dutch Championships U20 Maastricht,U100
Leon Beeren,1998,3,Dutch Championships U20 Groningen,U100
Leon Beeren,1998,3,Dutch Cadet Championships Maastricht,O81
